ncode,tdate,tenor,price,vot,wgt
8240616,08/05/2024,0.0740,99.6800,176072257,0.050240
8240715,08/05/2024,0.1507,99.3700,114940200,0.032797
8240814,08/05/2024,0.2466,98.9700,497606155,0.141987
8240913,08/05/2024,0.3233,98.6600,26715017,0.007623
8241010,08/05/2024,0.4000,98.3300,247622421,0.070656
8241119,08/05/2024,0.4959,97.9200,41145996,0.011741
8241218,08/05/2024,0.5726,97.6200,8513418,0.002429
8250128,08/05/2024,0.6685,97.2100,24942469,0.007117
8250219,08/05/2024,0.7452,96.9200,106526067,0.030396
8250318,08/05/2024,0.8219,96.6100,5713499,0.001630
8250417,08/05/2024,0.8986,96.2800,27200989,0.007762
1135557,08/05/2024,1.3123,98.0600,314337548,0.089693
1174697,08/05/2024,1.8055,93.7000,38609642,0.011017
1099456,08/05/2024,2.4767,107.8500,57848884,0.016507
1139344,08/05/2024,2.8932,94.1800,25830030,0.007370
1203579,08/05/2024,3.3945,99.1700,174708568,0.049851
1150879,08/05/2024,4.3918,93.2300,316481192,0.090305
1194802,08/05/2024,4.8110,98.2100,131778511,0.037602
1160985,08/05/2024,5.8959,82.8800,368526439,0.105155
1180660,08/05/2024,7.9808,78.9700,294281538,0.083970
1202332,08/05/2024,10.8959,95.2700,201786644,0.057578
1166180,08/05/2024,13.0685,70.2800,87768690,0.025044
1125400,08/05/2024,17.7425,109.2700,77980284,0.022251
1140193,08/05/2024,22.9068,84.0000,103520727,0.029539
1184076,08/05/2024,28.5781,67.7200,34139858,0.009741
