ncode,tdate,tenor,price,vot,wgt
1135912,31/03/2024,1.5836,99.3417,80387427,0.066913
1169564,31/03/2024,2.3315,97.1416,26609039,0.022149
1140847,31/03/2024,3.1644,98.5132,283298335,0.235812
1197326,31/03/2024,4.5863,98.6170,138010897,0.114878
1157023,31/03/2024,5.1671,95.3363,441982561,0.367898
1172220,31/03/2024,7.6685,88.7641,62691125,0.052183
1204379,31/03/2024,9.5890,98.9679,148802114,0.123860
1097708,31/03/2024,12.1699,127.7111,19214644,0.015994
1120583,31/03/2024,17.4247,114.8098,155884,0.000130
1168301,31/03/2024,27.6822,69.0632,220143,0.000183
