ncode,tdate,tenor,price,vot,wgt
1135912,08/05/2024,1.4795,99.1523,80753020,0.067225
1169564,08/05/2024,2.2274,96.8974,26713789,0.022238
1140847,08/05/2024,3.0603,98.1952,284209913,0.236597
1197326,08/05/2024,4.4822,98.1005,138176031,0.115028
1157023,08/05/2024,5.0630,94.6353,441570264,0.367595
1172220,08/05/2024,7.5644,88.0524,62590628,0.052105
1204379,08/05/2024,9.4849,97.6526,147774146,0.123018
1097708,08/05/2024,12.0658,126.0279,19084039,0.015887
1120583,08/05/2024,17.3205,113.0975,154552,0.000129
1168301,08/05/2024,27.5781,66.8770,214553,0.000179
