ncode,tdate,pdate,tenor,pmt
1099456,31/12/2023,31/10/2024,0.8329,6.2671
1099456,31/12/2023,31/10/2025,1.8329,6.2500
1099456,31/12/2023,30/10/2026,2.8301,106.2500
1125400,31/12/2023,31/01/2024,0.0822,5.5000
1125400,31/12/2023,31/01/2025,1.0849,5.5000
1125400,31/12/2023,30/01/2026,2.0822,5.5000
1125400,31/12/2023,31/01/2027,3.0849,5.5000
1125400,31/12/2023,31/01/2028,4.0849,5.5000
1125400,31/12/2023,31/01/2029,5.0877,5.5000
1125400,31/12/2023,31/01/2030,6.0877,5.5000
1125400,31/12/2023,31/01/2031,7.0877,5.5000
1125400,31/12/2023,30/01/2032,8.0849,5.5000
1125400,31/12/2023,31/01/2033,9.0904,5.5000
1125400,31/12/2023,31/01/2034,10.0904,5.5000
1125400,31/12/2023,31/01/2035,11.0904,5.5000
1125400,31/12/2023,31/01/2036,12.0904,5.5000
1125400,31/12/2023,30/01/2037,13.0904,5.5000
1125400,31/12/2023,31/01/2038,14.0932,5.5000
1125400,31/12/2023,31/01/2039,15.0932,5.5000
1125400,31/12/2023,31/01/2040,16.0932,5.5000
1125400,31/12/2023,31/01/2041,17.0959,5.5000
1125400,31/12/2023,31/01/2042,18.0959,105.5000
1135557,31/12/2023,30/08/2024,0.6630,1.7500
1135557,31/12/2023,31/08/2025,1.6658,101.7500
1139344,31/12/2023,31/03/2024,0.2466,2.0055
1139344,31/12/2023,31/03/2025,1.2466,2.0000
1139344,31/12/2023,31/03/2026,2.2466,2.0000
1139344,31/12/2023,31/03/2027,3.2466,102.0000
1140193,31/12/2023,31/03/2024,0.2466,3.7603
1140193,31/12/2023,31/03/2025,1.2466,3.7500
1140193,31/12/2023,31/03/2026,2.2466,3.7500
1140193,31/12/2023,31/03/2027,3.2466,3.7500
1140193,31/12/2023,31/03/2028,4.2493,3.7500
1140193,31/12/2023,30/03/2029,5.2466,3.7500
1140193,31/12/2023,31/03/2030,6.2493,3.7500
1140193,31/12/2023,31/03/2031,7.2493,3.7500
1140193,31/12/2023,31/03/2032,8.2521,3.7500
1140193,31/12/2023,31/03/2033,9.2521,3.7500
1140193,31/12/2023,31/03/2034,10.2521,3.7500
1140193,31/12/2023,30/03/2035,11.2493,3.7500
1140193,31/12/2023,31/03/2036,12.2548,3.7500
1140193,31/12/2023,30/03/2037,13.2521,3.7500
1140193,31/12/2023,31/03/2038,14.2548,3.7500
1140193,31/12/2023,31/03/2039,15.2548,3.7500
1140193,31/12/2023,30/03/2040,16.2548,3.7500
1140193,31/12/2023,31/03/2041,17.2575,3.7500
1140193,31/12/2023,31/03/2042,18.2575,3.7500
1140193,31/12/2023,31/03/2043,19.2575,3.7500
1140193,31/12/2023,31/03/2044,20.2603,3.7500
1140193,31/12/2023,31/03/2045,21.2603,3.7500
1140193,31/12/2023,30/03/2046,22.2575,3.7500
1140193,31/12/2023,31/03/2047,23.2603,103.7500
1150879,31/12/2023,30/09/2024,0.7479,2.2623
1150879,31/12/2023,30/09/2025,1.7479,2.2500
1150879,31/12/2023,30/09/2026,2.7479,2.2500
1150879,31/12/2023,30/09/2027,3.7479,2.2500
1150879,31/12/2023,28/09/2028,4.7452,102.2500
1160985,31/12/2023,31/03/2024,0.2466,1.0027
1160985,31/12/2023,31/03/2025,1.2466,1.0000
1160985,31/12/2023,31/03/2026,2.2466,1.0000
1160985,31/12/2023,31/03/2027,3.2466,1.0000
1160985,31/12/2023,31/03/2028,4.2493,1.0000
1160985,31/12/2023,30/03/2029,5.2466,1.0000
1160985,31/12/2023,31/03/2030,6.2493,101.0000
1162668,31/12/2023,30/04/2024,0.3288,0.5014
1162668,31/12/2023,30/04/2025,1.3288,100.5000
1166180,31/12/2023,31/05/2024,0.4137,1.5041
1166180,31/12/2023,30/05/2025,1.4110,1.5000
1166180,31/12/2023,31/05/2026,2.4137,1.5000
1166180,31/12/2023,31/05/2027,3.4137,1.5000
1166180,31/12/2023,30/05/2028,4.4137,1.5000
1166180,31/12/2023,31/05/2029,5.4164,1.5000
1166180,31/12/2023,31/05/2030,6.4164,1.5000
1166180,31/12/2023,30/05/2031,7.4137,1.5000
1166180,31/12/2023,31/05/2032,8.4192,1.5000
1166180,31/12/2023,31/05/2033,9.4192,1.5000
1166180,31/12/2023,31/05/2034,10.4192,1.5000
1166180,31/12/2023,31/05/2035,11.4192,1.5000
1166180,31/12/2023,30/05/2036,12.4192,1.5000
1166180,31/12/2023,31/05/2037,13.4219,101.5000
1174697,31/12/2023,29/02/2024,0.1616,0.5014
1174697,31/12/2023,28/02/2025,1.1616,0.5000
1174697,31/12/2023,27/02/2026,2.1589,100.5000
1180660,31/12/2023,30/04/2024,0.3288,1.3036
1180660,31/12/2023,30/04/2025,1.3288,1.3000
1180660,31/12/2023,30/04/2026,2.3288,1.3000
1180660,31/12/2023,30/04/2027,3.3288,1.3000
1180660,31/12/2023,30/04/2028,4.3315,1.3000
1180660,31/12/2023,30/04/2029,5.3315,1.3000
1180660,31/12/2023,30/04/2030,6.3315,1.3000
1180660,31/12/2023,30/04/2031,7.3315,1.3000
1180660,31/12/2023,30/04/2032,8.3342,101.3000
1184076,31/12/2023,29/11/2024,0.9123,2.8000
1184076,31/12/2023,30/11/2025,1.9151,2.8000
1184076,31/12/2023,30/11/2026,2.9151,2.8000
1184076,31/12/2023,30/11/2027,3.9151,2.8000
1184076,31/12/2023,30/11/2028,4.9178,2.8000
1184076,31/12/2023,30/11/2029,5.9178,2.8000
1184076,31/12/2023,29/11/2030,6.9151,2.8000
