ncode,tdate,pdate,tenor,pmt
1099456,08/05/2024,31/10/2024,0.4795,6.2671
1099456,08/05/2024,31/10/2025,1.4795,6.2500
1099456,08/05/2024,30/10/2026,2.4767,106.2500
1125400,08/05/2024,31/01/2025,0.7315,5.5151
1125400,08/05/2024,30/01/2026,1.7288,5.5000
1125400,08/05/2024,31/01/2027,2.7315,5.5000
1125400,08/05/2024,31/01/2028,3.7315,5.5000
1125400,08/05/2024,31/01/2029,4.7342,5.5000
1125400,08/05/2024,31/01/2030,5.7342,5.5000
1125400,08/05/2024,31/01/2031,6.7342,5.5000
1125400,08/05/2024,30/01/2032,7.7315,5.5000
1125400,08/05/2024,31/01/2033,8.7370,5.5000
1125400,08/05/2024,31/01/2034,9.7370,5.5000
1125400,08/05/2024,31/01/2035,10.7370,5.5000
1125400,08/05/2024,31/01/2036,11.7370,5.5000
1125400,08/05/2024,30/01/2037,12.7370,5.5000
1125400,08/05/2024,31/01/2038,13.7397,5.5000
1125400,08/05/2024,31/01/2039,14.7397,5.5000
1125400,08/05/2024,31/01/2040,15.7397,5.5000
1125400,08/05/2024,31/01/2041,16.7425,5.5000
1125400,08/05/2024,31/01/2042,17.7425,105.5000
1135557,08/05/2024,30/08/2024,0.3096,1.7500
1135557,08/05/2024,31/08/2025,1.3123,101.7500
1139344,08/05/2024,31/03/2025,0.8932,2.0000
1139344,08/05/2024,31/03/2026,1.8932,2.0000
1139344,08/05/2024,31/03/2027,2.8932,102.0000
1140193,08/05/2024,31/03/2025,0.8932,3.7500
1140193,08/05/2024,31/03/2026,1.8932,3.7500
1140193,08/05/2024,31/03/2027,2.8932,3.7500
1140193,08/05/2024,31/03/2028,3.8959,3.7500
1140193,08/05/2024,30/03/2029,4.8932,3.7500
1140193,08/05/2024,31/03/2030,5.8959,3.7500
1140193,08/05/2024,31/03/2031,6.8959,3.7500
1140193,08/05/2024,31/03/2032,7.8986,3.7500
1140193,08/05/2024,31/03/2033,8.8986,3.7500
1140193,08/05/2024,31/03/2034,9.8986,3.7500
1140193,08/05/2024,30/03/2035,10.8959,3.7500
1140193,08/05/2024,31/03/2036,11.9014,3.7500
1140193,08/05/2024,30/03/2037,12.8986,3.7500
1140193,08/05/2024,31/03/2038,13.9014,3.7500
1140193,08/05/2024,31/03/2039,14.9014,3.7500
1140193,08/05/2024,30/03/2040,15.9014,3.7500
1140193,08/05/2024,31/03/2041,16.9041,3.7500
1140193,08/05/2024,31/03/2042,17.9041,3.7500
1140193,08/05/2024,31/03/2043,18.9041,3.7500
1140193,08/05/2024,31/03/2044,19.9068,3.7500
1140193,08/05/2024,31/03/2045,20.9068,3.7500
1140193,08/05/2024,30/03/2046,21.9041,3.7500
1140193,08/05/2024,31/03/2047,22.9068,103.7500
1150879,08/05/2024,30/09/2024,0.3945,2.2623
1150879,08/05/2024,30/09/2025,1.3945,2.2500
1150879,08/05/2024,30/09/2026,2.3945,2.2500
1150879,08/05/2024,30/09/2027,3.3945,2.2500
1150879,08/05/2024,28/09/2028,4.3918,102.2500
1160985,08/05/2024,31/03/2025,0.8932,1.0000
1160985,08/05/2024,31/03/2026,1.8932,1.0000
1160985,08/05/2024,31/03/2027,2.8932,1.0000
1160985,08/05/2024,31/03/2028,3.8959,1.0000
1160985,08/05/2024,30/03/2029,4.8932,1.0000
1160985,08/05/2024,31/03/2030,5.8959,101.0000
1166180,08/05/2024,31/05/2024,0.0603,1.5041
1166180,08/05/2024,30/05/2025,1.0575,1.5000
1166180,08/05/2024,31/05/2026,2.0603,1.5000
1166180,08/05/2024,31/05/2027,3.0603,1.5000
1166180,08/05/2024,30/05/2028,4.0603,1.5000
1166180,08/05/2024,31/05/2029,5.0630,1.5000
1166180,08/05/2024,31/05/2030,6.0630,1.5000
