tdate,tenor,wgt,fwd,b0,b1,b2,b3
08/05/2024,0.00,0.010000,4.6024958,4.6024958,0.0000000,0.0000000,0.0000000
08/05/2024,0.25,0.010000,4.6024958,0.0000000,0.0000000,0.0000000,0.0000000
08/05/2024,0.50,0.010000,4.6024958,0.0000000,0.0000000,0.0000000,0.0000000
08/05/2024,0.75,0.010000,4.6024958,0.0000000,0.0000000,0.0000000,0.0000000
08/05/2024,1.00,0.010000,4.6024958,0.0000000,0.0000000,0.0000000,0.0000000
08/05/2024,2.00,1.000000,4.6024958,0.0000000,0.0000000,0.0000000,0.0000000
08/05/2024,3.00,1.000000,4.6024958,0.0000000,0.0000000,0.0000000,0.0000000
08/05/2024,4.00,1.000000,4.6024958,0.0000000,0.0000000,0.0000000,0.0000000
08/05/2024,5.00,1.000000,4.6024958,0.0000000,0.0000000,0.0000000,0.0000000
08/05/2024,6.00,1.000000,4.6024958,0.0000000,0.0000000,0.0000000,0.0000000
08/05/2024,8.00,1.000000,4.6024958,0.0000000,0.0000000,0.0000000,0.0000000
08/05/2024,15.00,1.000000,4.6024958,0.0000000,0.0000000,0.0000000,0.0000000
08/05/2024,20.00,1000.000,4.6024958,0.0000000,0.0000000,0.0000000,0.0000000
08/05/2024,25.00,1000.000,4.6024958,0.0000000,0.0000000,0.0000000,0.0000000
08/05/2024,30.00,1000.000,4.6024958,0.0000000,0.0000000,0.0000000,0.0000000
