ncode,tdate,tenor,price,vot,wgt
8240616,31/03/2024,0.1781,99.2600,175330380,0.049412
8240715,31/03/2024,0.2548,98.9500,114454390,0.032256
8240814,31/03/2024,0.3507,98.5500,495494459,0.139641
8240913,31/03/2024,0.4274,98.2100,26593166,0.007495
8241010,31/03/2024,0.5041,97.9300,246615109,0.069502
8241119,31/03/2024,0.6000,97.5200,40977916,0.011548
8241218,31/03/2024,0.6767,97.2200,8478534,0.002389
8250128,31/03/2024,0.7726,96.9000,24862929,0.007007
8250219,31/03/2024,0.8493,96.6300,106207324,0.029932
8250318,31/03/2024,0.9260,96.3800,5699897,0.001606
1162668,31/03/2024,1.0795,96.7700,56929304,0.016044
1135557,31/03/2024,1.4164,97.9600,314016992,0.088497
1174697,31/03/2024,1.9096,93.6900,38605521,0.010880
1099456,31/03/2024,2.5808,108.0300,57945433,0.016330
1139344,31/03/2024,2.9973,94.4300,25898596,0.007299
1203579,31/03/2024,3.4986,99.6000,175466103,0.049450
1150879,31/03/2024,4.4959,93.7900,318382184,0.089727
1194802,31/03/2024,4.9151,98.8300,132610429,0.037373
1160985,31/03/2024,6.0000,83.4700,371149878,0.104598
1180660,31/03/2024,8.0849,81.0100,301883594,0.085078
1202332,31/03/2024,11.0000,96.1300,203608168,0.057381
1166180,31/03/2024,13.1726,70.9300,88580438,0.024964
1125400,31/03/2024,17.8466,110.2500,78679659,0.022174
1140193,31/03/2024,23.0110,85.2600,105073538,0.029612
1184076,31/03/2024,28.6822,69.0100,34790189,0.009805
